name,tag,link
THE HIMALAYAN,Solid Men Track Suit,https://www.flipkart.com/himalayan-solid-men-track-suit/p/itm682058c93d835?pid=TKSGG7D3HNFKXTM4&lid=LSTTKSGG7D3HNFKXTM4YVLJXZ&marketplace=FLIPKART&store=clo&srno=b_1_1&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkczAjjocXirLbCKfygvQvbsGrN6dU3HL8yftr5S3NvrmAg%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
UNITED DENIM,Men Slim Mid Rise Grey Jeans,https://www.flipkart.com/united-denim-slim-men-grey-jeans/p/itmba171f1d66a3d?pid=JEAGHZTQGGGFMZNG&lid=LSTJEAGHZTQGGGFMZNGPU4IVE&marketplace=FLIPKART&store=clo&srno=b_1_2&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkcwVscoRpowo8zDVontG5VndiaWW7Eh4mxWHxyI1IqMiyg%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
AUSK,"Men Striped Round Neck Cotton Blend Blue, Black T-Shirt",https://www.flipkart.com/ausk-striped-men-round-neck-blue-black-t-shirt/p/itmc4b97a0badb26?pid=TSHGHU9FKCQYEKFC&lid=LSTTSHGHU9FKCQYEKFC8QXEUA&marketplace=FLIPKART&store=clo&spotlightTagId=BestsellerId_clo&srno=b_1_3&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TSHGHU9FKCQYEKFC.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Swagr,Men Solid Ankle Length,https://www.flipkart.com/swagr-men-solid-ankle-length/p/itm1fe69dec7d2be?pid=SOCGGNX58KHMSDMZ&lid=LSTSOCGGNX58KHMSDMZR1EHCD&marketplace=FLIPKART&store=clo&spotlightTagId=BestsellerId_clo&srno=b_1_4&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGGNX58KHMSDMZ.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Winget,Men & Women Self Design Ankle Length,https://www.flipkart.com/winget-men-women-self-design-ankle-length/p/itm6ad60d0e0491e?pid=SOCGD54YSUGXRYUZ&lid=LSTSOCGD54YSUGXRYUZDTWDWB&marketplace=FLIPKART&store=clo&srno=b_1_5&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGD54YSUGXRYUZ.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Winget,Men & Women Solid Ankle Length,https://www.flipkart.com/winget-men-women-solid-ankle-length/p/itmeb154e26c89bf?pid=SOCGFSYMXC8KYKNC&lid=LSTSOCGFSYMXC8KYKNC61TWF4&marketplace=FLIPKART&store=clo&srno=b_1_6&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGFSYMXC8KYKNC.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
TRIPR,"Pack of 2 Men Printed Dark Blue, Black Track Pants",https://www.flipkart.com/tripr-printed-men-dark-blue-black-track-pants/p/itm7e82eb39775ca?pid=TKPGMENTJ3R2QZWH&lid=LSTTKPGMENTJ3R2QZWHVRHFFA&marketplace=FLIPKART&store=clo&srno=b_1_7&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TKPGMENTJ3R2QZWH.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
BEING WANTED,Men Full Sleeve Solid Hooded Sweatshirt,https://www.flipkart.com/being-wanted-full-sleeve-solid-men-sweatshirt/p/itm2d9925ed15fb8?pid=SWSGHCKF9ZZPZV4W&lid=LSTSWSGHCKF9ZZPZV4W63ANM8&marketplace=FLIPKART&store=clo&srno=b_1_8&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4AkcyNlGK4KODUmF8U4OwoO4MfjtgtFlMDtZjIiOhALEHP4g%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
FUBAR,Men Slim Fit Light Green Cotton Blend Trousers,https://www.flipkart.com/fubar-slim-fit-men-light-green-trousers/p/itmdbed9ef148d13?pid=TROGYMJFWCNXGYSF&lid=LSTTROGYMJFWCNXGYSFUEMY9L&marketplace=FLIPKART&store=clo&srno=b_1_9&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TROGYMJFWCNXGYSF.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
COMBRAIDED,Men Slim Fit Black Lycra Blend Trousers,https://www.flipkart.com/combraided-slim-fit-men-black-trousers/p/itmeecd93af09ad2?pid=TROGMJXBFHFJYFZW&lid=LSTTROGMJXBFHFJYFZWKMLUWY&marketplace=FLIPKART&store=clo&srno=b_1_10&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.TROGMJXBFHFJYFZW.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Adrenex,"Pack of 2 Solid Men Black, Grey Basic Shorts, Beach Sho...",https://www.flipkart.com/adrenex-solid-men-black-grey-basic-shorts-beach-baggy-gym-cycling-shorts/p/itm8f675cd56bbb8?pid=SRTGDF9H534YA7CW&lid=LSTSRTGDF9H534YA7CWXS0GKV&marketplace=FLIPKART&store=clo&srno=b_1_11&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akcx07NsRDk35P8c2QV2X4tFtQsj7EnTU0Wq1Pzp08c-CKw%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
FUBAR,Men Slim Fit Striped Spread Collar Casual Shirt,https://www.flipkart.com/fubar-men-striped-casual-white-shirt/p/itm7f6404a5e93a7?pid=SHTGZVMFKKNE9RCT&lid=LSTSHTGZVMFKKNE9RCTDE7NP3&marketplace=FLIPKART&store=clo&srno=b_1_12&otracker=browse&fm=organic&iid=en_R3zlbbM3afx4NzVf_CWknrRfJiVCokuLHOJvbZ4Akczln0nlgPuBT4Y_kWSYuFaXBsnDyzlBBFrhR9jGVpeN6g%3D%3D&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itmf139c9efcaa77?pid=SHTGR4K2WKZZNBJR&lid=LSTSHTGR4K2WKZZNBJRAWI2W8&marketplace=FLIPKART&store=clo&srno=b_1_13&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SHTGR4K2WKZZNBJR.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
Whippet,Men & Women Solid Ankle Length,https://www.flipkart.com/whippet-men-women-solid-ankle-length/p/itm79b1ec0d1bddb?pid=SOCGN4ZMGQFJH29W&lid=LSTSOCGN4ZMGQFJH29WQANS2B&marketplace=FLIPKART&store=clo&srno=b_1_14&otracker=browse&fm=organic&iid=5a68d801-7d4f-48ed-936b-02f53e15234c.SOCGN4ZMGQFJH29W.SEARCH&ppt=None&ppn=None&ssid=zjlo1twsq80000001692044132250
