name,tag,link
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-printed-casual-blue-shirt/p/itmfef6db1dbb4e3?pid=SHTGGKZWYTMGTHZC&lid=LSTSHTGGKZWYTMGTHZCX8NVH0&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPVGr-kdR6J74xn0yH0-Chyu0vpIW39Swwe1sfzUoTFPkw%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itm683710cc4ba0c?pid=SHTG7KCJ8ZCYHVJ8&lid=LSTSHTG7KCJ8ZCYHVJ8BII3IW&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPWwPTSnSyyovEiXya3qvQxCYTcjVHqDQ_dhp4PCF9RetQ%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Jai Textiles,Men Slim Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/jai-textiles-men-printed-casual-black-shirt/p/itm87292c2bfe229?pid=SHTFP3TTTCJJXTJG&lid=LSTSHTFP3TTTCJJXTJGLWVAZB&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.SHTFP3TTTCJJXTJG.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
SHIRAZIKIDSWEAR,Boys & Girls Looney Toons Casual T-shirt Jeans,https://www.flipkart.com/shirazikidswear-boys-girls-casual-t-shirt-jeans/p/itm7d608e9b631d4?pid=KPBG4BNNH6G5JSJA&lid=LSTKPBG4BNNH6G5JSJAFIK6CL&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.KPBG4BNNH6G5JSJA.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Indian Fashionista,Unstitched Viscose Rayon Shirt Fabric Printed,https://www.flipkart.com/indian-fashionista-viscose-rayon-printed-shirt-fabric/p/itmb2c8135a73ca9?pid=FABGCDP9UGUBQXQF&lid=LSTFABGCDP9UGUBQXQFMH9DXI&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGCDP9UGUBQXQF.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
IZZY WEAR CLOTHING,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/izzy-wear-clothing-polycotton-printed-shirt-fabric/p/itm18b37b5d9e865?pid=FABGK5HTJUGQGFNT&lid=LSTFABGK5HTJUGQGFNTGOTHAR&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGK5HTJUGQGFNT.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Shivay Enterprise,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/shivay-enterprise-polycotton-printed-shirt-fabric/p/itm369afd6365736?pid=FABGEVMA5WC2QHF4&lid=LSTFABGEVMA5WC2QHF47MRAID&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGEVMA5WC2QHF4.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
SYS Bella Fashion,Men Slim Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/sys-bella-fashion-men-printed-casual-white-shirt/p/itm4f091fa05cab7?pid=SHTGG4WYH3BUWKAY&lid=LSTSHTGG4WYH3BUWKAYLPQB6E&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_s5Y8usSabH0xpwmKbv3thWn9IiPzn_3DKKKXd-HRCPURqx1lW5tblV2WCSYx3Kwjyq5tZHOTWyGc0iMo30hwSQ%3D%3D&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Trijal Fab,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/trijal-fab-polycotton-printed-shirt-fabric/p/itm9e1241552e444?pid=FABGZ63Z2HFSBWPX&lid=LSTFABGZ63Z2HFSBWPXGN7JFY&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGZ63Z2HFSBWPX.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
Siyaram's,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/siyaram-s-polycotton-printed-shirt-fabric/p/itm114eeb18f3069?pid=FABGQPDA3RGNV2UC&lid=LSTFABGQPDA3RGNV2UCKPRQNC&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f7456580-5af9-4dfa-8fd0-442efcbde6e7.FABGQPDA3RGNV2UC.SEARCH&ppt=None&ppn=None&ssid=gonzfkwlv40000001692034836953&qH=50cf19912960f654
