name,tag,link
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-printed-casual-blue-shirt/p/itmfef6db1dbb4e3?pid=SHTGGKZWYTMGTHZC&lid=LSTSHTGGKZWYTMGTHZCX8NVH0&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKbkk1fSkbeNuTeLHoVO-RTn0vpIW39Swwe1sfzUoTFPkw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Checkered Cut Away Collar Casual Shirt,https://www.flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itm683710cc4ba0c?pid=SHTG7KCJ8ZCYHVJ8&lid=LSTSHTG7KCJ8ZCYHVJ8BII3IW&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKa1LDmgkf4eJPs0KXZecxPVYTcjVHqDQ_dhp4PCF9RetQ%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Indian Fashionista,Unstitched Viscose Rayon Shirt Fabric Printed,https://www.flipkart.com/indian-fashionista-viscose-rayon-printed-shirt-fabric/p/itmb2c8135a73ca9?pid=FABGCDP9UGUBQXQF&lid=LSTFABGCDP9UGUBQXQFMH9DXI&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.FABGCDP9UGUBQXQF.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
Indian Fashionista,Unstitched Viscose Rayon Shirt Fabric Printed,https://www.flipkart.com/indian-fashionista-viscose-rayon-printed-shirt-fabric/p/itm1dfc0d77d334c?pid=FABG5BHKGGRKNSGA&lid=LSTFABG5BHKGGRKNSGAS4FADV&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.FABG5BHKGGRKNSGA.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
SUBHDIN,Unstitched Cotton Linen Shirt Fabric Solid,https://www.flipkart.com/subhdin-cotton-linen-solid-shirt-fabric/p/itm839e261339b82?pid=FABGFKZGK6P4HMK4&lid=LSTFABGFKZGK6P4HMK4EXND9O&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.FABGFKZGK6P4HMK4.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
sat shree fab,Unstitched Polycotton Shirt Fabric Printed,https://www.flipkart.com/sat-shree-fab-polycotton-printed-shirt-fabric/p/itmd42e30c4b4f58?pid=FABGNB6DEJTNWG7U&lid=LSTFABGNB6DEJTNWG7U4O3ECN&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.FABGNB6DEJTNWG7U.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
3BROS,Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shir...,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
HIGHLANDER,Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_ElH2eZeyEiit4vctZfp2vOAakFaaFec3oxy5Yb4tGKZrcF8LZcd2aeK7cXCIZvgmecB8iHGBKQVCz2B3okOkIw%3D%3D&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-grey-shirt/p/itmf139c9efcaa77?pid=SHTGR4K2WKZZNBJR&lid=LSTSHTGR4K2WKZZNBJRAWI2W8&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.SHTGR4K2WKZZNBJR.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
TRIPR,"Pack of 2 Men Printed Dark Blue, Black Track Pants",https://www.flipkart.com/tripr-printed-men-dark-blue-black-track-pants/p/itm7e82eb39775ca?pid=TKPGMENTURYFSRSH&lid=LSTTKPGMENTURYFSRSHCAAJDK&marketplace=FLIPKART&q=clothing&store=clo&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=6edb3da1-9e04-4e71-8945-4a4135a09b44.TKPGMENTURYFSRSH.SEARCH&ppt=None&ppn=None&ssid=8ffkdzx09c0000001692035510431&qH=50cf19912960f654
